model,type,samples,fairness_considuration_ratio,top_results_to_compare,auc,percision,similarity_between_fair_and_regular_predictions,fairness_score_of_fair_predictions,fairness_score_of_regular_predictions
0,none,3,0.05,1,0.85,0.53,0.96,0.51,0.49
0,none,3,0.05,2,0.85,0.5,0.84,0.65,0.57
0,none,3,0.05,3,0.85,0.5,0.95,0.65,0.61
0,none,3,0.05,4,0.85,0.48,0.89,0.65,0.55
0,none,3,0.05,5,0.85,0.47,0.9,0.62,0.54
0,none,3,0.05,6,0.85,0.46,0.87,0.62,0.53
0,none,3,0.05,7,0.85,0.45,0.86,0.62,0.53
0,none,3,0.05,8,0.85,0.43,0.86,0.63,0.54
0,none,3,0.05,9,0.85,0.42,0.9,0.63,0.56
0,none,3,0.05,10,0.85,0.41,0.89,0.64,0.56
0,none,3,0.1,1,0.85,0.53,0.27,0.87,0.49
0,none,3,0.1,2,0.85,0.5,0.72,0.72,0.57
0,none,3,0.1,3,0.85,0.5,0.91,0.67,0.61
0,none,3,0.1,4,0.85,0.48,0.77,0.71,0.55
0,none,3,0.1,5,0.85,0.47,0.68,0.75,0.54
0,none,3,0.1,6,0.85,0.46,0.69,0.74,0.53
0,none,3,0.1,7,0.85,0.45,0.71,0.73,0.53
0,none,3,0.1,8,0.85,0.43,0.73,0.73,0.54
0,none,3,0.1,9,0.85,0.42,0.75,0.74,0.56
0,none,3,0.1,10,0.85,0.41,0.79,0.72,0.56
0,none,3,0.15,1,0.85,0.53,0.27,0.87,0.49
0,none,3,0.15,2,0.85,0.5,0.59,0.78,0.57
0,none,3,0.15,3,0.85,0.5,0.69,0.79,0.61
0,none,3,0.15,4,0.85,0.48,0.69,0.76,0.55
0,none,3,0.15,5,0.85,0.47,0.59,0.8,0.54
0,none,3,0.15,6,0.85,0.46,0.54,0.81,0.53
0,none,3,0.15,7,0.85,0.45,0.54,0.82,0.53
0,none,3,0.15,8,0.85,0.43,0.59,0.8,0.54
0,none,3,0.15,9,0.85,0.42,0.66,0.78,0.56
0,none,3,0.15,10,0.85,0.41,0.68,0.78,0.56
0,none,3,0.2,1,0.85,0.53,0.07,0.97,0.49
0,none,3,0.2,2,0.85,0.5,0.4,0.88,0.57
0,none,3,0.2,3,0.85,0.5,0.51,0.88,0.61
0,none,3,0.2,4,0.85,0.48,0.43,0.89,0.55
0,none,3,0.2,5,0.85,0.47,0.4,0.89,0.54
0,none,3,0.2,6,0.85,0.46,0.41,0.87,0.53
0,none,3,0.2,7,0.85,0.45,0.44,0.86,0.53
0,none,3,0.2,8,0.85,0.43,0.44,0.88,0.54
0,none,3,0.2,9,0.85,0.42,0.5,0.87,0.56
0,none,3,0.2,10,0.85,0.41,0.54,0.85,0.56
0,none,3,0.25,1,0.85,0.53,0.01,1,0.49
0,none,3,0.25,2,0.85,0.5,0.18,0.99,0.57
0,none,3,0.25,3,0.85,0.5,0.32,0.97,0.61
0,none,3,0.25,4,0.85,0.48,0.28,0.96,0.55
0,none,3,0.25,5,0.85,0.47,0.28,0.95,0.54
